Part_ID, Congruent_RT_Mean, Incongruent_RT_Mean, Congruent_ACC, Incongruent_ACC, Congruent_EFF, Incongruent_EFF, Global_RT_Mean, Local_RT_Mean, Global_ACC, Local_ACC, Global_EFF, Local_EFF, Global_Congruent_RT, Global_Incongruent_RT, Local_Congruent_RT, Local_Incongruent_RT, Global_Congruent_ACC, Global_Incongruent_ACC, Local_Congruent_ACC, Local_Incongruent_ACC, Global_Congruent_EFF, Global_Incongruent_EFF, Local_Congruent_EFF, Local_Incongruent_EFF 
5, 0.5739, 0.5749, 95.6522, 77.7778, 0.6000, 0.7392, 0.5993, 0.5501, 82.0000, 90.0000, 0.7309, 0.6112, 0.5946, 0.6037, 0.5523, 0.5483, 95.6522, 70.3704, 95.6522, 85.1852, 0.6217, 0.8578, 0.5774, 0.6436
6, 0.4088, 0.4575, 94.4444, 93.4783, 0.4328, 0.4894, 0.3788, 0.4835, 92.0000, 96.0000, 0.4118, 0.5036, 0.3642, 0.3990, 0.4604, 0.5065, 93.1034, 90.4762, 96.0000, 96.0000, 0.3912, 0.4411, 0.4796, 0.5277
7, 0.5046, 0.4983, 97.8261, 96.2963, 0.5158, 0.5174, 0.4999, 0.5025, 98.0000, 96.0000, 0.5101, 0.5234, 0.5068, 0.4945, 0.5026, 0.5024, 95.4545, 100.0000, 100.0000, 92.3077, 0.5309, 0.4945, 0.5026, 0.5443
8, 0.6846, 0.7691, 96.2264, 93.6170, 0.7114, 0.8215, 0.7565, 0.6933, 92.0000, 98.0000, 0.8223, 0.7074, 0.7020, 0.8026, 0.6718, 0.7255, 95.6522, 88.8889, 96.6667, 100.0000, 0.7339, 0.9029, 0.6949, 0.7255
9, 0.5582, 0.6338, 93.3333, 92.5000, 0.5981, 0.6852, 0.5639, 0.6131, 90.0000, 96.0000, 0.6265, 0.6387, 0.5541, 0.5773, 0.5621, 0.6963, 89.6552, 90.4762, 96.7742, 94.7368, 0.6180, 0.6381, 0.5809, 0.7350

Group Statistics:
GROUP ANALYSIS, Congruent_RT_Mean, Incongruent_RT_Mean, Congruent_ACC, Incongruent_ACC, Congruent_EFF, Incongruent_EFF, Global_RT_Mean, Local_RT_Mean, Global_ACC, Local_ACC, Global_EFF, Local_EFF, Global_Congruent_RT, Global_Incongruent_RT, Local_Congruent_RT, Local_Incongruent_RT, Global_Congruent_ACC, Global_Incongruent_ACC, Local_Congruent_ACC, Local_Incongruent_ACC, Global_Congruent_EFF, Global_Incongruent_EFF, Local_Congruent_EFF, Local_Incongruent_EFF 
GROUP, 0.5290, 0.5649, 97.0956, 92.6907, 0.5455, 0.6141, 0.5356, 0.5577, 94.1860, 95.6279, 0.5714, 0.5859, 0.5206, 0.5511, 0.5382, 0.5774, 96.9555, 91.2569, 97.1659, 94.1867, 0.5382, 0.6136, 0.5548, 0.6246

