Block, Condition, Item, Key, Accuracy, RT
glob1,congruent,Ll,['l'],True,0.506913
glob1,incongruent,Lk,['l'],True,0.717421
glob1,congruent,Ll,['l'],True,0.512664
glob1,congruent,Kk,['k'],True,0.448498
glob1,incongruent,Kl,['k'],True,0.517941
glob1,incongruent,Kl,['k'],True,0.454076
glob1,congruent,Kk,['k'],True,0.444491
glob1,incongruent,Kl,['k'],True,0.425723
glob1,congruent,Kk,['k'],True,0.490692
glob1,congruent,Kk,['k'],True,0.419257
glob1,incongruent,Lk,['l'],True,0.783430
glob1,congruent,Kk,['k'],True,0.558575
glob1,congruent,Kk,['k'],True,0.462718
glob1,incongruent,Lk,['l'],True,0.509941
glob1,congruent,Kk,['k'],True,0.468945
glob1,congruent,Ll,['l'],True,0.477915
glob1,incongruent,Lk,['k'],False,0.485655
glob1,incongruent,Lk,['k'],False,0.512189
glob1,incongruent,Lk,['l'],True,0.816904
glob1,incongruent,Lk,['l'],True,0.442610
glob1,incongruent,Kl,['k'],True,0.561479
glob1,congruent,Ll,['l'],True,0.578827
glob1,incongruent,Lk,['l'],True,0.687419
glob1,congruent,Kk,['k'],True,0.655860
glob1,congruent,Ll,['l'],True,0.465829
loc1,incongruent,Kl,['l'],True,0.708951
loc1,incongruent,Lk,['k'],True,0.506040
loc1,congruent,Kk,['k'],True,0.475414
loc1,incongruent,Kl,['l'],True,0.704377
loc1,incongruent,Kl,['l'],True,0.463998
loc1,incongruent,Kl,['l'],True,0.447936
loc1,congruent,Kk,['k'],True,0.480362
loc1,incongruent,Lk,['k'],True,0.479720
loc1,congruent,Ll,['l'],True,0.607310
loc1,congruent,Kk,['k'],True,0.659568
loc1,congruent,Ll,['l'],True,0.602173
loc1,congruent,Ll,['l'],True,0.460294
loc1,congruent,Ll,['l'],True,0.434405
loc1,congruent,Ll,['l'],True,0.441697
loc1,incongruent,Lk,['k'],True,0.505581
loc1,incongruent,Lk,['k'],True,0.509357
loc1,congruent,Ll,['l'],True,0.501611
loc1,incongruent,Lk,['k'],True,0.615135
loc1,incongruent,Lk,['k'],True,0.467900
loc1,congruent,Kk,['k'],True,0.433302
loc1,congruent,Ll,['l'],True,0.537468
loc1,congruent,Kk,['k'],True,0.477569
loc1,incongruent,Kl,['l'],True,0.438997
loc1,incongruent,Kl,['l'],True,0.495914
loc1,congruent,Kk,['k'],True,0.456501
loc2,congruent,Ll,['l'],True,0.451979
loc2,congruent,Kk,['k'],True,0.605636
loc2,congruent,Kk,['k'],True,0.433264
loc2,congruent,Kk,['k'],True,0.406803
loc2,congruent,Kk,['k'],True,0.399654
loc2,incongruent,Kl,['l'],True,0.458825
loc2,congruent,Kk,['k'],True,0.629313
loc2,congruent,Ll,['l'],True,0.535536
loc2,congruent,Ll,['l'],True,0.503549
loc2,incongruent,Kl,['l'],True,0.536537
loc2,incongruent,Lk,['k'],True,0.497633
loc2,congruent,Ll,['l'],True,0.535191
loc2,incongruent,Lk,['k'],True,0.569522
loc2,congruent,Ll,['l'],True,0.667289
loc2,congruent,Ll,['l'],True,0.727225
loc2,incongruent,Lk,['l'],False,0.400501
loc2,incongruent,Kl,['l'],True,0.551865
loc2,incongruent,Kl,['l'],True,0.426266
loc2,congruent,Kk,['k'],True,0.507467
loc2,congruent,Ll,['l'],True,0.433941
loc2,incongruent,Kl,['l'],True,0.459089
loc2,congruent,Kk,['k'],True,0.441833
loc2,incongruent,Kl,['l'],True,0.534587
loc2,incongruent,Lk,['k'],True,0.579009
loc2,congruent,Kk,['k'],True,0.462717
glob2,congruent,Kk,['k'],True,0.516166
glob2,congruent,Kk,['k'],True,0.427194
glob2,incongruent,Lk,['l'],True,0.511951
glob2,incongruent,Kl,['k'],True,0.655305
glob2,congruent,Kk,['k'],True,0.499337
glob2,congruent,Ll,['l'],True,0.723320
glob2,incongruent,Lk,['l'],True,0.681797
glob2,congruent,Kk,['k'],True,0.635564
glob2,congruent,Kk,['k'],True,0.507864
glob2,congruent,Ll,['l'],True,0.556899
glob2,incongruent,Lk,['l'],True,0.745455
glob2,congruent,Ll,['l'],True,0.527852
glob2,congruent,Kk,['k'],True,0.640467
glob2,congruent,Ll,['l'],True,0.708787
glob2,congruent,Kk,['k'],True,0.577881
glob2,incongruent,Kl,['k'],True,0.613603
glob2,congruent,Kk,['k'],True,0.459064
glob2,congruent,Ll,['l'],True,0.578829
glob2,incongruent,Lk,['k'],False,0.453512
glob2,incongruent,Kl,['k'],True,0.611064
glob2,congruent,Ll,['l'],True,0.565183
glob2,incongruent,Lk,['k'],False,0.622932
glob2,incongruent,Kl,['k'],True,0.771571
glob2,congruent,Ll,['l'],True,0.425753
glob2,congruent,Kk,['k'],True,0.423000
Done at 263.598402
