Block, Condition, Item, Key, Accuracy, RT
loc1,incongruent,Kl,['k'],False,0.586900
loc1,congruent,Kk,['k'],True,0.622693
loc1,incongruent,Kl,['l'],True,0.743701
loc1,congruent,Ll,['l'],True,1.047767
loc1,congruent,Kk,['k'],True,0.642346
loc1,incongruent,Lk,['k'],True,0.559328
loc1,congruent,Ll,['l'],True,0.589003
loc1,congruent,Kk,['k'],True,0.458481
loc1,incongruent,Kl,['k'],False,0.521574
loc1,congruent,Ll,['l'],True,0.578035
loc1,congruent,Ll,['l'],True,0.439068
loc1,congruent,Ll,['l'],True,0.388428
loc1,incongruent,Kl,['l'],True,0.756033
loc1,incongruent,Kl,['l'],True,0.427196
loc1,congruent,Kk,None,False,nan
loc1,incongruent,Kl,['l'],True,0.375252
loc1,incongruent,Lk,['k'],True,0.568395
loc1,congruent,Kk,['k'],True,0.530645
loc1,incongruent,Lk,['k'],True,0.604604
loc1,incongruent,Lk,['k'],True,0.432152
loc1,incongruent,Lk,['k'],True,0.405841
loc1,incongruent,Kl,['l'],True,0.748252
loc1,congruent,Kk,['k'],True,0.446385
loc1,incongruent,Lk,['k'],True,0.591140
loc1,congruent,Ll,['l'],True,0.505379
glob1,incongruent,Lk,['k'],False,0.534361
glob1,congruent,Kk,['l'],False,0.930559
glob1,incongruent,Kl,['l'],False,0.886005
glob1,incongruent,Kl,None,False,nan
glob1,congruent,Ll,['l'],True,0.970483
glob1,incongruent,Lk,['k'],False,0.872618
glob1,congruent,Ll,['l'],True,1.185810
glob1,incongruent,Kl,['k'],True,0.670633
glob1,incongruent,Kl,None,False,nan
glob1,incongruent,Lk,['l'],True,0.600006
glob1,incongruent,Lk,['l'],True,0.748337
glob1,incongruent,Lk,['l'],True,1.011898
glob1,congruent,Ll,['l'],True,0.390766
glob1,congruent,Kk,['k'],True,0.686594
glob1,incongruent,Kl,['k'],True,0.664426
glob1,congruent,Ll,['l'],True,0.574183
glob1,incongruent,Lk,['l'],True,0.513511
glob1,congruent,Kk,['k'],True,0.665322
glob1,congruent,Ll,['l'],True,0.458189
glob1,incongruent,Lk,['l'],True,0.553928
glob1,congruent,Ll,['l'],True,0.458212
glob1,incongruent,Kl,['k'],True,0.834584
glob1,incongruent,Kl,['k'],True,0.515126
glob1,congruent,Kk,['k'],True,0.420143
glob1,congruent,Ll,['l'],True,0.634259
glob2,incongruent,Kl,['k'],True,0.456871
glob2,incongruent,Kl,['k'],True,0.401034
glob2,incongruent,Lk,['l'],True,0.448744
glob2,incongruent,Kl,['k'],True,0.622157
glob2,congruent,Kk,['k'],True,0.725992
glob2,incongruent,Lk,['l'],True,0.575382
glob2,congruent,Ll,['l'],True,0.592720
glob2,incongruent,Kl,['k'],True,0.556229
glob2,congruent,Ll,['l'],True,0.357224
glob2,congruent,Kk,['k'],True,0.452177
glob2,incongruent,Lk,['l'],True,0.372318
glob2,congruent,Ll,['l'],True,0.592593
glob2,congruent,Ll,['l'],True,0.406060
glob2,congruent,Ll,['l'],True,0.427257
glob2,congruent,Ll,['l'],True,0.424482
glob2,incongruent,Kl,['l'],False,0.317905
glob2,incongruent,Lk,['k'],False,0.409457
glob2,incongruent,Kl,['k'],True,1.095129
glob2,incongruent,Kl,['k'],True,0.512322
glob2,incongruent,Lk,['k'],False,0.433380
glob2,congruent,Ll,['l'],True,0.436346
glob2,congruent,Kk,['k'],True,0.701543
glob2,congruent,Ll,['l'],True,0.399808
glob2,congruent,Kk,['k'],True,0.785985
glob2,incongruent,Lk,['l'],True,0.485177
loc2,congruent,Kk,['k'],True,0.913486
loc2,incongruent,Kl,['l'],True,0.764451
loc2,incongruent,Kl,['l'],True,0.628697
loc2,congruent,Ll,['l'],True,0.504445
loc2,congruent,Kk,['k'],True,0.497428
loc2,incongruent,Lk,['k'],True,0.596207
loc2,congruent,Kk,['k'],True,0.407839
loc2,incongruent,Lk,['k'],True,0.479589
loc2,incongruent,Kl,['k'],False,0.334490
loc2,congruent,Kk,['k'],True,0.406305
loc2,congruent,Kk,['k'],True,0.429605
loc2,incongruent,Lk,['k'],True,0.434346
loc2,congruent,Ll,['l'],True,0.585053
loc2,congruent,Ll,['l'],True,0.549018
loc2,incongruent,Lk,['k'],True,0.521758
loc2,incongruent,Kl,['l'],True,0.567462
loc2,incongruent,Kl,['l'],True,0.577382
loc2,incongruent,Kl,['l'],True,0.485638
loc2,congruent,Ll,['l'],True,0.399670
loc2,incongruent,Lk,['l'],False,0.397470
loc2,congruent,Kk,['k'],True,0.634615
loc2,incongruent,Kl,['l'],True,0.571202
loc2,congruent,Ll,['l'],True,0.574243
loc2,incongruent,Kl,['l'],True,0.615535
loc2,incongruent,Kl,['l'],True,0.508792
Done at 269.453732
