Block, Condition, Item, Key, Accuracy, RT
loc1,incongruent,Kl,['l'],True,0.502816
loc1,congruent,Kk,['k'],True,0.501248
loc1,incongruent,Lk,['k'],True,0.599738
loc1,congruent,Ll,['l'],True,0.732837
loc1,congruent,Ll,['l'],True,0.553714
loc1,congruent,Ll,['l'],True,0.507807
loc1,congruent,Ll,['l'],True,0.316563
loc1,incongruent,Lk,['k'],True,0.547094
loc1,incongruent,Kl,['l'],True,0.607333
loc1,incongruent,Lk,['k'],True,0.552997
loc1,incongruent,Lk,['k'],True,0.372596
loc1,incongruent,Lk,['k'],True,0.369526
loc1,congruent,Ll,['l'],True,0.531256
loc1,congruent,Kk,['k'],True,0.466676
loc1,congruent,Kk,['k'],True,0.466188
loc1,congruent,Ll,['l'],True,0.533203
loc1,incongruent,Kl,['l'],True,0.631834
loc1,incongruent,Lk,['k'],True,0.536339
loc1,incongruent,Lk,['k'],True,0.361732
loc1,congruent,Ll,['l'],True,0.504811
loc1,incongruent,Kl,['l'],True,0.569047
loc1,congruent,Kk,['k'],True,0.574478
loc1,incongruent,Kl,['l'],True,0.686157
loc1,congruent,Ll,['l'],True,0.724723
loc1,congruent,Ll,['l'],True,0.561277
glob1,incongruent,Kl,['k'],True,0.985656
glob1,incongruent,Kl,['k'],True,0.414774
glob1,incongruent,Lk,['l'],True,0.459130
glob1,congruent,Kk,['k'],True,0.593127
glob1,congruent,Ll,['l'],True,0.485967
glob1,congruent,Kk,['k'],True,0.804645
glob1,incongruent,Kl,['k'],True,0.424418
glob1,congruent,Ll,['l'],True,0.453497
glob1,congruent,Kk,['k'],True,0.465217
glob1,congruent,Ll,['l'],True,0.573923
glob1,incongruent,Kl,['k'],True,0.568367
glob1,incongruent,Kl,['k'],True,0.410853
glob1,congruent,Kk,['k'],True,0.423260
glob1,congruent,Ll,['l'],True,0.384003
glob1,incongruent,Kl,['k'],True,0.341126
glob1,incongruent,Kl,['k'],True,0.409548
glob1,incongruent,Lk,['l'],True,0.434909
glob1,congruent,Kk,['k'],True,0.304417
glob1,incongruent,Lk,['l'],True,0.605727
glob1,congruent,Ll,['l'],True,0.446336
glob1,incongruent,Kl,['k'],True,0.605590
glob1,congruent,Kk,['k'],True,0.463185
glob1,congruent,Kk,['k'],True,0.528826
glob1,incongruent,Lk,['l'],True,0.490173
glob1,incongruent,Kl,['k'],True,0.397959
glob2,incongruent,Lk,['l'],True,0.723277
glob2,congruent,Kk,['k'],True,0.321580
glob2,congruent,Kk,['k'],True,0.399306
glob2,incongruent,Lk,['l'],True,0.502914
glob2,incongruent,Kl,['k'],True,0.337199
glob2,congruent,Kk,['k'],True,0.411611
glob2,incongruent,Kl,['k'],True,0.391155
glob2,congruent,Kk,['k'],True,0.379292
glob2,congruent,Kk,['k'],True,0.384748
glob2,incongruent,Kl,['k'],True,0.305879
glob2,congruent,Kk,['k'],True,0.315178
glob2,incongruent,Lk,['l'],True,0.349954
glob2,incongruent,Lk,['l'],True,0.313744
glob2,incongruent,Lk,['l'],True,0.343359
glob2,congruent,Kk,['k'],True,0.338502
glob2,congruent,Ll,['l'],True,0.442294
glob2,incongruent,Kl,['k'],True,0.579137
glob2,congruent,Kk,['k'],True,0.404018
glob2,incongruent,Kl,['k'],True,0.343587
glob2,congruent,Kk,['k'],True,0.298070
glob2,incongruent,Kl,['k'],True,0.407324
glob2,incongruent,Lk,['k'],False,0.323399
glob2,incongruent,Kl,['k'],True,0.372909
glob2,incongruent,Lk,['l'],True,0.484687
glob2,incongruent,Lk,['l'],True,0.379472
loc2,congruent,Kk,['k'],True,0.710761
loc2,incongruent,Kl,['l'],True,0.728176
loc2,incongruent,Lk,['k'],True,0.844849
loc2,incongruent,Lk,['k'],True,0.590339
loc2,incongruent,Lk,['k'],True,0.776121
loc2,incongruent,Lk,['k'],True,0.561251
loc2,incongruent,Kl,['l'],True,0.792257
loc2,congruent,Kk,['k'],True,0.596797
loc2,incongruent,Lk,['k'],True,0.665226
loc2,incongruent,Lk,['k'],True,0.598061
loc2,congruent,Kk,['k'],True,0.735780
loc2,congruent,Kk,['k'],True,0.560035
loc2,congruent,Kk,['k'],True,0.592578
loc2,incongruent,Kl,['k'],False,0.326691
loc2,congruent,Kk,['k'],True,0.969216
loc2,congruent,Kk,['k'],True,0.407517
loc2,congruent,Kk,['k'],True,0.374093
loc2,incongruent,Lk,['k'],True,0.633576
loc2,congruent,Ll,['l'],True,0.632922
loc2,incongruent,Lk,['k'],True,0.555350
loc2,congruent,Kk,['k'],True,0.483486
loc2,incongruent,Kl,['l'],True,0.597482
loc2,incongruent,Kl,['l'],True,0.394113
loc2,incongruent,Lk,['k'],True,0.476726
loc2,incongruent,Lk,['k'],True,0.467118
Done at 301.783165
