Block, Condition, Item, Key, Accuracy, RT
glob1,incongruent,Kl,['k'],True,0.425326
glob1,congruent,Kk,['k'],True,0.329201
glob1,congruent,Kk,['k'],True,0.438753
glob1,incongruent,Lk,['l'],True,0.404062
glob1,incongruent,Lk,['l'],True,0.354248
glob1,congruent,Kk,['k'],True,0.517050
glob1,incongruent,Lk,['k'],False,0.384667
glob1,incongruent,Lk,['l'],True,0.772151
glob1,incongruent,Lk,['l'],True,0.482064
glob1,congruent,Ll,['l'],True,0.521757
glob1,incongruent,Lk,['l'],True,0.509865
glob1,congruent,Ll,['l'],True,0.432949
glob1,incongruent,Kl,['k'],True,0.566996
glob1,incongruent,Kl,['k'],True,0.403729
glob1,incongruent,Kl,['k'],True,0.552236
glob1,incongruent,Lk,['l'],True,0.405420
glob1,congruent,Ll,['l'],True,0.368802
glob1,congruent,Kk,['k'],True,0.454639
glob1,congruent,Kk,['k'],True,0.497596
glob1,incongruent,Lk,['l'],True,0.485943
glob1,congruent,Kk,['k'],True,0.476968
glob1,incongruent,Kl,['k'],True,0.441534
glob1,congruent,Ll,['l'],True,0.495395
glob1,congruent,Kk,['k'],True,0.436167
glob1,congruent,Ll,['l'],True,0.410851
loc1,congruent,Ll,['l'],True,0.354462
loc1,congruent,Kk,['k'],True,0.479693
loc1,incongruent,Kl,['l'],True,0.374592
loc1,incongruent,Lk,['k'],True,0.371367
loc1,incongruent,Lk,['k'],True,0.627160
loc1,congruent,Kk,['k'],True,0.506357
loc1,incongruent,Kl,['l'],True,0.593920
loc1,incongruent,Lk,['k'],True,0.600490
loc1,incongruent,Lk,['k'],True,0.679983
loc1,congruent,Ll,['l'],True,0.471536
loc1,congruent,Kk,['k'],True,0.664158
loc1,congruent,Ll,['l'],True,0.453226
loc1,congruent,Kk,['k'],True,0.556556
loc1,incongruent,Kl,['l'],True,0.486177
loc1,congruent,Ll,['l'],True,0.628883
loc1,congruent,Ll,['l'],True,0.511316
loc1,incongruent,Kl,['l'],True,0.615139
loc1,incongruent,Lk,['k'],True,0.463325
loc1,incongruent,Lk,['k'],True,0.457173
loc1,incongruent,Kl,['l'],True,0.476507
loc1,incongruent,Kl,['l'],True,0.476702
loc1,congruent,Ll,['l'],True,0.461177
loc1,congruent,Kk,['k'],True,0.518832
loc1,congruent,Ll,['l'],True,0.495340
loc1,congruent,Ll,['l'],True,0.516471
loc2,incongruent,Lk,['l'],False,0.587447
loc2,incongruent,Kl,['l'],True,0.701966
loc2,congruent,Ll,['l'],True,0.497870
loc2,incongruent,Lk,['k'],True,0.403528
loc2,congruent,Ll,['l'],True,0.479153
loc2,incongruent,Lk,['k'],True,0.455712
loc2,incongruent,Lk,['k'],True,1.305424
loc2,congruent,Kk,['k'],True,0.866828
loc2,incongruent,Kl,['l'],True,0.595426
loc2,congruent,Ll,['l'],True,0.415979
loc2,congruent,Ll,['l'],True,0.375935
loc2,incongruent,Kl,['l'],True,0.495529
loc2,congruent,Ll,['l'],True,0.377304
loc2,incongruent,Lk,['k'],True,0.363076
loc2,congruent,Kk,['k'],True,0.419491
loc2,congruent,Ll,['k'],False,0.404915
loc2,congruent,Ll,['l'],True,0.509347
loc2,incongruent,Lk,['k'],True,0.466479
loc2,congruent,Kk,['k'],True,0.596069
loc2,congruent,Ll,['l'],True,0.496918
loc2,congruent,Ll,['l'],True,0.433368
loc2,incongruent,Lk,['k'],True,0.497203
loc2,incongruent,Kl,['l'],True,0.495206
loc2,incongruent,Lk,['k'],True,0.786088
loc2,incongruent,Kl,['l'],True,0.560983
glob2,congruent,Kk,['k'],True,0.438733
glob2,incongruent,Kl,['k'],True,0.380855
glob2,congruent,Ll,['l'],True,0.328515
glob2,incongruent,Kl,['k'],True,0.622917
glob2,incongruent,Lk,['l'],True,0.691893
glob2,incongruent,Lk,['l'],True,0.666303
glob2,incongruent,Kl,['k'],True,0.514817
glob2,congruent,Ll,['l'],True,0.362291
glob2,congruent,Kk,['k'],True,0.552693
glob2,incongruent,Lk,['l'],True,1.125967
glob2,incongruent,Lk,['l'],True,0.458146
glob2,incongruent,Lk,['l'],True,0.482902
glob2,incongruent,Lk,['l'],True,0.490034
glob2,incongruent,Kl,['k'],True,0.295871
glob2,congruent,Kk,['k'],True,0.338941
glob2,congruent,Ll,['l'],True,0.482017
glob2,congruent,Ll,['l'],True,0.550291
glob2,congruent,Kk,['k'],True,0.499173
glob2,congruent,Ll,['k'],False,0.442268
glob2,incongruent,Lk,['l'],True,0.619376
glob2,incongruent,Lk,['l'],True,0.401242
glob2,incongruent,Kl,['k'],True,0.329782
glob2,congruent,Kk,['k'],True,0.533902
glob2,congruent,Kk,['k'],True,0.490418
glob2,incongruent,Lk,['l'],True,0.590004
Done at 247.774234
