Block, Condition, Item, Key, Accuracy, RT
loc1,incongruent,Lk,['k'],True,0.707177
loc1,congruent,Ll,['l'],True,0.582226
loc1,incongruent,Kl,['l'],True,0.589214
loc1,incongruent,Lk,['k'],True,0.593912
loc1,incongruent,Lk,['k'],True,0.508536
loc1,incongruent,Lk,['k'],True,0.452261
loc1,congruent,Kk,['k'],True,0.701722
loc1,incongruent,Kl,['l'],True,0.537576
loc1,congruent,Ll,['l'],True,0.437155
loc1,incongruent,Kl,['l'],True,0.446040
loc1,incongruent,Lk,['k'],True,0.567828
loc1,incongruent,Lk,['k'],True,0.485612
loc1,incongruent,Kl,['l'],True,0.473491
loc1,congruent,Kk,['k'],True,0.492683
loc1,incongruent,Lk,['k'],True,0.432155
loc1,incongruent,Lk,['k'],True,0.434572
loc1,congruent,Kk,['k'],True,0.449999
loc1,congruent,Kk,['k'],True,0.587306
loc1,incongruent,Kl,['l'],True,0.541850
loc1,congruent,Ll,['l'],True,0.454398
loc1,congruent,Ll,['l'],True,0.415792
loc1,incongruent,Kl,['l'],True,0.366959
loc1,congruent,Kk,['k'],True,0.492735
loc1,congruent,Ll,['l'],True,0.538733
loc1,congruent,Ll,['l'],True,0.378043
glob1,congruent,Kk,['k'],True,0.654072
glob1,congruent,Kk,['k'],True,0.419374
glob1,congruent,Kk,['k'],True,0.405632
glob1,congruent,Ll,['l'],True,0.544405
glob1,incongruent,Lk,['l'],True,0.629579
glob1,incongruent,Kl,['k'],True,0.631988
glob1,incongruent,Lk,['l'],True,0.666969
glob1,congruent,Ll,['l'],True,0.503659
glob1,congruent,Ll,['l'],True,0.444712
glob1,congruent,Ll,['l'],True,0.546985
glob1,congruent,Ll,['l'],True,0.411418
glob1,incongruent,Lk,['l'],True,0.650581
glob1,congruent,Ll,['l'],True,0.444081
glob1,congruent,Kk,['k'],True,0.477349
glob1,incongruent,Kl,['k'],True,0.667162
glob1,congruent,Ll,['l'],True,0.589877
glob1,congruent,Kk,['k'],True,0.789973
glob1,incongruent,Kl,['k'],True,0.628327
glob1,incongruent,Lk,['l'],True,0.538318
glob1,congruent,Kk,['k'],True,0.532246
glob1,congruent,Ll,['l'],True,0.585374
glob1,congruent,Ll,['l'],True,0.460366
glob1,congruent,Ll,['l'],True,0.450949
glob1,congruent,Kk,['k'],True,0.546886
glob1,congruent,Ll,['l'],True,0.498190
glob2,congruent,Kk,['k'],True,0.703448
glob2,incongruent,Kl,['k'],True,0.547353
glob2,congruent,Ll,['l'],True,0.524458
glob2,congruent,Kk,['k'],True,0.489235
glob2,incongruent,Kl,['k'],True,0.553600
glob2,congruent,Kk,['k'],True,0.410587
glob2,incongruent,Lk,['l'],True,0.491168
glob2,incongruent,Lk,['l'],True,0.360682
glob2,incongruent,Kl,['k'],True,0.530314
glob2,congruent,Ll,['l'],True,0.506182
glob2,congruent,Ll,['l'],True,0.421080
glob2,congruent,Ll,['l'],True,0.467869
glob2,congruent,Ll,['l'],True,0.413069
glob2,incongruent,Kl,['k'],True,0.497636
glob2,incongruent,Lk,['l'],True,0.518119
glob2,incongruent,Lk,['l'],True,0.450839
glob2,incongruent,Kl,['k'],True,0.502223
glob2,congruent,Kk,['k'],True,0.423026
glob2,incongruent,Kl,['k'],True,0.397500
glob2,congruent,Ll,['l'],True,0.553566
glob2,incongruent,Lk,['l'],True,0.646889
glob2,incongruent,Kl,['k'],True,0.673864
glob2,incongruent,Lk,['l'],True,0.607128
glob2,incongruent,Lk,['l'],True,0.654655
glob2,congruent,Ll,['l'],True,0.416036
loc2,congruent,Ll,['l'],True,0.473771
loc2,incongruent,Lk,['k'],True,0.542349
loc2,congruent,Ll,['l'],True,0.509002
loc2,congruent,Ll,['l'],True,0.453728
loc2,incongruent,Lk,['k'],True,0.576452
loc2,incongruent,Lk,['k'],True,0.484356
loc2,congruent,Ll,['l'],True,0.561732
loc2,congruent,Ll,['l'],True,0.483851
loc2,incongruent,Lk,['k'],True,0.501319
loc2,congruent,Ll,['l'],True,0.461348
loc2,incongruent,Kl,['l'],True,0.497254
loc2,congruent,Kk,['k'],True,0.598787
loc2,incongruent,Lk,['k'],True,0.500739
loc2,congruent,Ll,['l'],True,0.514297
loc2,congruent,Kk,['k'],True,0.518656
loc2,congruent,Ll,['l'],True,0.464260
loc2,congruent,Ll,['l'],True,0.439068
loc2,congruent,Ll,['l'],True,0.413134
loc2,congruent,Ll,['l'],True,0.337902
loc2,incongruent,Lk,['k'],True,0.498570
loc2,congruent,Ll,['l'],True,0.506029
loc2,incongruent,Lk,['k'],True,0.473599
loc2,incongruent,Lk,['k'],True,0.481949
loc2,incongruent,Kl,['l'],True,0.597843
loc2,incongruent,Lk,['k'],True,0.553363
Done at 243.716340
