Block, Condition, Item, Key, Accuracy, RT
glob1,incongruent,Kl,['k'],True,0.445183
glob1,congruent,Ll,['l'],True,0.450229
glob1,congruent,Ll,['l'],True,0.545880
glob1,incongruent,Kl,['l'],False,0.381514
glob1,incongruent,Lk,['l'],True,0.780390
glob1,congruent,Ll,['l'],True,1.060704
glob1,incongruent,Kl,['k'],True,0.427261
glob1,incongruent,Kl,['k'],True,0.768605
glob1,congruent,Ll,['l'],True,0.721760
glob1,incongruent,Kl,['k'],True,0.702131
glob1,congruent,Kk,['k'],True,0.464050
glob1,congruent,Ll,['l'],True,0.556318
glob1,congruent,Ll,['l'],True,0.572303
glob1,incongruent,Lk,['l'],True,0.906656
glob1,incongruent,Kl,['k'],True,0.402556
glob1,congruent,Kk,['k'],True,0.482738
glob1,congruent,Ll,['l'],True,0.532366
glob1,congruent,Ll,['l'],True,0.546751
glob1,incongruent,Kl,['k'],True,0.364313
glob1,congruent,Kk,['l'],False,0.404014
glob1,congruent,Ll,['l'],True,0.767071
glob1,congruent,Kk,['k'],True,0.537184
glob1,incongruent,Kl,['l'],False,0.779680
glob1,incongruent,Lk,['l'],True,0.676390
glob1,congruent,Ll,['l'],True,0.597176
loc1,congruent,Kk,['k'],True,0.997726
loc1,congruent,Ll,['l'],True,0.745982
loc1,incongruent,Kl,['l'],True,0.868875
loc1,congruent,Kk,['k'],True,0.800893
loc1,congruent,Kk,['k'],True,0.752643
loc1,incongruent,Kl,['l'],True,0.961752
loc1,congruent,Ll,['l'],True,0.599878
loc1,incongruent,Kl,['l'],True,0.500615
loc1,incongruent,Kl,['l'],True,0.415291
loc1,congruent,Kk,['k'],True,0.497692
loc1,incongruent,Kl,['l'],True,0.720031
loc1,incongruent,Kl,['l'],True,0.682430
loc1,congruent,Ll,['l'],True,0.554207
loc1,congruent,Ll,['l'],True,0.507880
loc1,congruent,Kk,['k'],True,1.071054
loc1,incongruent,Kl,['l'],True,0.782164
loc1,incongruent,Lk,['k'],True,0.724596
loc1,congruent,Kk,['k'],True,0.589439
loc1,congruent,Ll,['l'],True,0.499491
loc1,congruent,Ll,['l'],True,0.413746
loc1,congruent,Kk,['k'],True,0.407207
loc1,congruent,Kk,['k'],True,0.503271
loc1,congruent,Kk,['k'],True,0.542968
loc1,congruent,Kk,['k'],True,0.394343
loc1,incongruent,Kl,['l'],True,0.487985
loc2,incongruent,Lk,['k'],True,0.816605
loc2,incongruent,Lk,['k'],True,0.757517
loc2,incongruent,Lk,['k'],True,1.049848
loc2,incongruent,Lk,['k'],True,0.418524
loc2,congruent,Ll,['k'],False,0.352364
loc2,congruent,Kk,['k'],True,0.487899
loc2,congruent,Kk,['k'],True,0.452705
loc2,congruent,Ll,['l'],True,0.381609
loc2,incongruent,Kl,['k'],False,0.516979
loc2,incongruent,Kl,['l'],True,0.848400
loc2,congruent,Kk,['k'],True,0.622302
loc2,incongruent,Lk,['k'],True,0.643546
loc2,congruent,Kk,['k'],True,0.613535
loc2,congruent,Kk,['k'],True,0.489342
loc2,congruent,Kk,['k'],True,0.569868
loc2,congruent,Kk,['k'],True,0.460050
loc2,incongruent,Lk,['k'],True,0.710283
loc2,congruent,Ll,['l'],True,0.551628
loc2,congruent,Kk,['k'],True,0.579826
loc2,congruent,Ll,['l'],True,0.500607
loc2,incongruent,Kl,['l'],True,0.803661
loc2,congruent,Kk,['k'],True,0.462385
loc2,incongruent,Lk,['k'],True,0.520211
loc2,congruent,Ll,['l'],True,0.557024
loc2,congruent,Kk,['k'],True,0.466886
glob2,congruent,Ll,['l'],True,0.504853
glob2,incongruent,Kl,['k'],True,0.272941
glob2,congruent,Kk,['l'],False,0.343366
glob2,incongruent,Kl,['k'],True,0.628221
glob2,incongruent,Lk,['l'],True,0.506435
glob2,congruent,Kk,['k'],True,0.435703
glob2,congruent,Ll,['l'],True,0.566068
glob2,congruent,Ll,['l'],True,0.466160
glob2,congruent,Kk,['k'],True,0.749266
glob2,incongruent,Lk,['l'],True,0.716726
glob2,incongruent,Kl,['k'],True,0.517878
glob2,congruent,Ll,['k'],False,0.368733
glob2,congruent,Ll,['l'],True,0.926304
glob2,congruent,Ll,['l'],True,0.490104
glob2,incongruent,Lk,['l'],True,0.507129
glob2,incongruent,Lk,['l'],True,0.647152
glob2,congruent,Ll,['l'],True,0.405254
glob2,incongruent,Lk,['l'],True,0.643989
glob2,congruent,Ll,['l'],True,0.559913
glob2,congruent,Ll,['l'],True,0.473490
glob2,congruent,Ll,['l'],True,0.371308
glob2,incongruent,Lk,['l'],True,0.389309
glob2,congruent,Kk,['k'],True,0.426903
glob2,congruent,Ll,['l'],True,0.742363
glob2,incongruent,Kl,['k'],True,0.659783
Done at 235.846266
