Block, Condition, Item, Key, Accuracy, RT
loc1,incongruent,Kl,['l'],True,0.634738
loc1,congruent,Kk,['k'],True,0.504084
loc1,incongruent,Lk,['k'],True,0.453298
loc1,congruent,Ll,['l'],True,0.529980
loc1,congruent,Kk,['k'],True,0.524185
loc1,congruent,Kk,['k'],True,0.487371
loc1,incongruent,Kl,['l'],True,0.657702
loc1,incongruent,Lk,['k'],True,0.544509
loc1,congruent,Ll,['l'],True,0.474313
loc1,congruent,Kk,['k'],True,0.514583
loc1,congruent,Kk,['k'],True,0.495143
loc1,incongruent,Kl,['l'],True,0.579525
loc1,congruent,Kk,['k'],True,0.511567
loc1,incongruent,Kl,['l'],True,0.578746
loc1,incongruent,Lk,['k'],True,0.535753
loc1,congruent,Kk,['k'],True,0.529679
loc1,congruent,Ll,['l'],True,0.528384
loc1,congruent,Kk,['k'],True,0.459753
loc1,incongruent,Lk,['k'],True,0.471150
loc1,congruent,Ll,['l'],True,0.628320
loc1,incongruent,Lk,['k'],True,0.530517
loc1,congruent,Kk,['k'],True,0.748502
loc1,incongruent,Lk,['k'],True,0.666652
loc1,congruent,Ll,['l'],True,0.565740
loc1,incongruent,Kl,['l'],True,0.530094
glob1,incongruent,Kl,['k'],True,0.545149
glob1,congruent,Kk,['k'],True,0.467789
glob1,incongruent,Kl,['k'],True,0.522884
glob1,congruent,Kk,['k'],True,0.523269
glob1,congruent,Kk,['k'],True,0.430768
glob1,congruent,Ll,['l'],True,0.577024
glob1,congruent,Kk,['k'],True,0.663330
glob1,incongruent,Lk,['l'],True,0.510805
glob1,congruent,Ll,['l'],True,0.441165
glob1,incongruent,Kl,['k'],True,0.543296
glob1,incongruent,Lk,['l'],True,0.805060
glob1,incongruent,Lk,['l'],True,0.745477
glob1,congruent,Ll,['l'],True,0.441601
glob1,incongruent,Lk,['l'],True,0.578768
glob1,incongruent,Lk,['l'],True,0.398769
glob1,congruent,Ll,['l'],True,0.432480
glob1,congruent,Kk,['k'],True,0.384053
glob1,incongruent,Lk,['l'],True,0.534244
glob1,congruent,Kk,['k'],True,0.523451
glob1,congruent,Ll,['l'],True,0.557087
glob1,incongruent,Kl,['k'],True,0.553177
glob1,incongruent,Kl,['k'],True,0.465840
glob1,congruent,Kk,['k'],True,0.484701
glob1,incongruent,Kl,['k'],True,0.460694
glob1,incongruent,Kl,['k'],True,0.483852
glob2,congruent,Kk,['k'],True,0.489766
glob2,congruent,Ll,['l'],True,0.458730
glob2,incongruent,Lk,['l'],True,0.482892
glob2,congruent,Ll,['l'],True,0.394448
glob2,incongruent,Kl,['k'],True,0.614898
glob2,congruent,Ll,['l'],True,0.442710
glob2,incongruent,Kl,['k'],True,0.506194
glob2,congruent,Kk,['k'],True,0.491937
glob2,incongruent,Kl,['k'],True,0.473200
glob2,incongruent,Lk,['l'],True,0.546382
glob2,congruent,Kk,['k'],True,0.380371
glob2,incongruent,Kl,['k'],True,0.454698
glob2,congruent,Kk,['k'],True,0.535398
glob2,congruent,Ll,['l'],True,0.615174
glob2,incongruent,Lk,['l'],True,0.378561
glob2,incongruent,Lk,['l'],True,0.441691
glob2,congruent,Ll,['l'],True,0.379992
glob2,incongruent,Lk,['l'],True,0.410050
glob2,incongruent,Kl,['k'],True,0.538209
glob2,congruent,Kk,['k'],True,0.346695
glob2,incongruent,Lk,['l'],True,0.521240
glob2,incongruent,Kl,['k'],True,0.388897
glob2,congruent,Ll,['l'],True,0.610997
glob2,congruent,Ll,['l'],True,0.454662
glob2,incongruent,Lk,['l'],True,0.415385
loc2,incongruent,Kl,['l'],True,0.745832
loc2,congruent,Kk,['k'],True,0.543543
loc2,congruent,Kk,['k'],True,0.474271
loc2,incongruent,Kl,['l'],True,0.599064
loc2,congruent,Kk,['k'],True,0.925919
loc2,incongruent,Lk,['k'],True,0.924655
loc2,incongruent,Kl,['l'],True,0.564925
loc2,congruent,Ll,['l'],True,0.673403
loc2,incongruent,Lk,['k'],True,0.583195
loc2,incongruent,Lk,['k'],True,0.566111
loc2,congruent,Kk,['k'],True,0.501707
loc2,congruent,Ll,['l'],True,0.428442
loc2,congruent,Ll,['l'],True,0.565089
loc2,incongruent,Lk,['k'],True,0.594229
loc2,incongruent,Kl,['l'],True,0.588418
loc2,congruent,Kk,['k'],True,0.519957
loc2,incongruent,Lk,['k'],True,0.554851
loc2,congruent,Kk,['k'],True,0.500077
loc2,congruent,Ll,['l'],True,0.629119
loc2,incongruent,Lk,['k'],True,0.604473
loc2,congruent,Ll,['l'],True,0.606000
loc2,incongruent,Kl,['l'],True,0.553059
loc2,incongruent,Lk,['k'],True,1.277035
loc2,congruent,Ll,['l'],True,0.446508
loc2,congruent,Kk,['k'],True,0.396492
Done at 268.747355
