Block, Condition, Item, Key, Accuracy, RT
glob1,congruent,Ll,['l'],True,0.422373
glob1,incongruent,Lk,['l'],True,0.437631
glob1,congruent,Kk,['k'],True,0.469306
glob1,incongruent,Lk,['l'],True,0.409409
glob1,incongruent,Lk,['l'],True,0.446703
glob1,incongruent,Lk,['l'],True,0.390258
glob1,incongruent,Lk,['l'],True,0.493934
glob1,incongruent,Kl,['k'],True,0.422747
glob1,congruent,Ll,['l'],True,0.484657
glob1,incongruent,Lk,['l'],True,0.573286
glob1,incongruent,Kl,['k'],True,0.532015
glob1,incongruent,Lk,['l'],True,0.382007
glob1,incongruent,Lk,['l'],True,0.542227
glob1,congruent,Kk,['k'],True,0.512196
glob1,congruent,Kk,['k'],True,0.563075
glob1,congruent,Kk,['k'],True,0.437782
glob1,congruent,Ll,['l'],True,0.481542
glob1,congruent,Kk,['k'],True,0.458100
glob1,incongruent,Lk,['l'],True,0.453955
glob1,congruent,Kk,['k'],True,0.429280
glob1,incongruent,Kl,['k'],True,0.452289
glob1,congruent,Kk,['k'],True,0.479266
glob1,incongruent,Lk,['l'],True,0.361396
glob1,incongruent,Kl,['k'],True,0.529318
glob1,incongruent,Kl,['k'],True,0.597232
loc1,congruent,Kk,['k'],True,0.581989
loc1,congruent,Kk,['k'],True,0.449363
loc1,incongruent,Kl,['l'],True,0.429273
loc1,incongruent,Lk,['k'],True,0.462211
loc1,incongruent,Kl,['l'],True,0.541642
loc1,congruent,Ll,['l'],True,0.439066
loc1,incongruent,Kl,['l'],True,0.404433
loc1,incongruent,Kl,['l'],True,0.369503
loc1,congruent,Kk,['l'],False,0.382843
loc1,incongruent,Lk,['k'],True,0.743017
loc1,congruent,Kk,['k'],True,0.402759
loc1,incongruent,Lk,['k'],True,0.401697
loc1,incongruent,Lk,['k'],True,0.447828
loc1,congruent,Kk,['k'],True,0.393161
loc1,incongruent,Lk,['k'],True,0.367808
loc1,congruent,Kk,['k'],True,0.403597
loc1,incongruent,Lk,['k'],True,0.395899
loc1,incongruent,Kl,['k'],False,0.416699
loc1,incongruent,Kl,['l'],True,0.525769
loc1,congruent,Ll,['l'],True,0.400033
loc1,congruent,Ll,['l'],True,0.400416
loc1,congruent,Kk,['k'],True,0.512880
loc1,incongruent,Kl,['l'],True,0.479376
loc1,incongruent,Kl,['l'],True,0.415102
loc1,congruent,Kk,['k'],True,0.693269
loc2,congruent,Kk,['k'],True,0.608249
loc2,congruent,Kk,['k'],True,0.426871
loc2,congruent,Ll,['l'],True,0.426030
loc2,congruent,Ll,['l'],True,0.399957
loc2,incongruent,Kl,['l'],True,0.376277
loc2,incongruent,Lk,['k'],True,0.397345
loc2,congruent,Ll,['l'],True,0.505466
loc2,congruent,Kk,['k'],True,0.452354
loc2,incongruent,Lk,['k'],True,0.451875
loc2,congruent,Ll,['l'],True,0.438552
loc2,incongruent,Kl,['l'],True,0.414251
loc2,incongruent,Lk,['k'],True,0.582349
loc2,congruent,Kk,['k'],True,0.483738
loc2,incongruent,Lk,['k'],True,0.394904
loc2,incongruent,Lk,['k'],True,0.393368
loc2,incongruent,Kl,['l'],True,0.589887
loc2,congruent,Kk,['k'],True,0.569491
loc2,incongruent,Kl,['l'],True,0.488867
loc2,congruent,Ll,['l'],True,0.435450
loc2,incongruent,Kl,['l'],True,0.372870
loc2,incongruent,Lk,['k'],True,0.483321
loc2,incongruent,Kl,['l'],True,0.631872
loc2,congruent,Ll,['l'],True,0.382125
loc2,incongruent,Lk,['k'],True,0.495021
loc2,incongruent,Lk,['k'],True,0.793900
glob2,incongruent,Lk,['l'],True,0.419683
glob2,congruent,Kk,['k'],True,0.476587
glob2,incongruent,Lk,['l'],True,0.390782
glob2,incongruent,Lk,['l'],True,0.444546
glob2,congruent,Kk,['k'],True,0.516424
glob2,congruent,Kk,['k'],True,0.415483
glob2,congruent,Kk,['k'],True,0.493981
glob2,congruent,Ll,['k'],False,0.406395
glob2,congruent,Ll,['l'],True,0.467943
glob2,incongruent,Lk,['l'],True,0.444292
glob2,congruent,Ll,['l'],True,0.346717
glob2,congruent,Kk,['k'],True,0.395068
glob2,congruent,Ll,['l'],True,0.521131
glob2,incongruent,Kl,['k'],True,0.586613
glob2,incongruent,Kl,['k'],True,0.460543
glob2,congruent,Kk,['k'],True,0.422302
glob2,congruent,Ll,['k'],False,0.434049
glob2,congruent,Ll,['l'],True,0.418558
glob2,incongruent,Lk,['l'],True,0.393682
glob2,congruent,Ll,['l'],True,0.483686
glob2,incongruent,Kl,['k'],True,1.371483
glob2,incongruent,Kl,['k'],True,0.504863
glob2,incongruent,Lk,['l'],True,0.505643
glob2,congruent,Ll,['l'],True,0.432360
glob2,congruent,Kk,['k'],True,0.487430
Done at 244.381897
