Block, Condition, Item, Key, Accuracy, RT
glob1,congruent,Ll,['l'],True,0.590063
glob1,incongruent,Kl,['k'],True,0.491645
glob1,incongruent,Kl,['k'],True,0.482637
glob1,congruent,Kk,['k'],True,0.563206
glob1,incongruent,Kl,['k'],True,0.420878
glob1,congruent,Kk,['k'],True,0.324300
glob1,incongruent,Lk,['l'],True,0.497756
glob1,incongruent,Lk,['l'],True,0.519885
glob1,congruent,Kk,['k'],True,0.383466
glob1,congruent,Kk,['k'],True,0.395776
glob1,incongruent,Lk,['l'],True,0.515824
glob1,incongruent,Lk,['l'],True,0.517511
glob1,congruent,Ll,['l'],True,0.388999
glob1,congruent,Ll,['l'],True,0.345612
glob1,incongruent,Kl,['k'],True,0.552530
glob1,congruent,Kk,['k'],True,0.474813
glob1,incongruent,Lk,['l'],True,0.459554
glob1,incongruent,Lk,['l'],True,0.888937
glob1,incongruent,Lk,['l'],True,0.491979
glob1,congruent,Kk,['k'],True,0.619180
glob1,incongruent,Kl,['k'],True,0.459458
glob1,congruent,Kk,['k'],True,0.462698
glob1,congruent,Kk,['k'],True,0.406455
glob1,incongruent,Lk,['l'],True,0.537803
glob1,incongruent,Lk,['l'],True,0.733474
loc1,incongruent,Lk,['k'],True,1.030563
loc1,congruent,Ll,['l'],True,0.508250
loc1,incongruent,Lk,['k'],True,0.453088
loc1,congruent,Kk,['k'],True,0.597663
loc1,congruent,Kk,['k'],True,0.432082
loc1,congruent,Kk,['k'],True,0.383824
loc1,congruent,Ll,['l'],True,0.517129
loc1,incongruent,Kl,['k'],False,0.448520
loc1,congruent,Ll,['l'],True,0.590608
loc1,congruent,Ll,['l'],True,0.399539
loc1,incongruent,Lk,['k'],True,0.544501
loc1,incongruent,Kl,['l'],True,0.497522
loc1,incongruent,Lk,['k'],True,0.468365
loc1,incongruent,Lk,['k'],True,0.455078
loc1,incongruent,Kl,['l'],True,0.477808
loc1,congruent,Kk,['k'],True,0.575938
loc1,incongruent,Lk,['k'],True,0.827480
loc1,incongruent,Kl,['l'],True,0.649691
loc1,incongruent,Kl,['l'],True,0.728788
loc1,incongruent,Lk,['k'],True,0.489531
loc1,incongruent,Kl,['l'],True,0.687850
loc1,congruent,Kk,['k'],True,0.519443
loc1,incongruent,Lk,['k'],True,0.728002
loc1,incongruent,Kl,['l'],True,0.467977
loc1,congruent,Ll,['l'],True,0.515152
loc2,congruent,Kk,['k'],True,0.778005
loc2,congruent,Kk,['k'],True,0.389051
loc2,congruent,Kk,['k'],True,0.331914
loc2,incongruent,Kl,['l'],True,0.502962
loc2,incongruent,Kl,['l'],True,0.414368
loc2,incongruent,Lk,['k'],True,0.476472
loc2,congruent,Ll,['l'],True,0.500040
loc2,congruent,Ll,['l'],True,0.499547
loc2,congruent,Kk,['k'],True,0.462212
loc2,congruent,Kk,['k'],True,0.453419
loc2,incongruent,Kl,['l'],True,0.528213
loc2,congruent,Ll,['l'],True,1.162546
loc2,congruent,Ll,['l'],True,0.492366
loc2,congruent,Kk,['k'],True,0.396516
loc2,incongruent,Lk,['k'],True,0.941174
loc2,congruent,Kk,['k'],True,0.472200
loc2,congruent,Kk,['k'],True,0.464683
loc2,incongruent,Lk,['k'],True,0.455096
loc2,incongruent,Kl,['l'],True,0.444102
loc2,congruent,Ll,['l'],True,0.549376
loc2,incongruent,Kl,['l'],True,0.481107
loc2,incongruent,Lk,['k'],True,0.532408
loc2,congruent,Kk,['k'],True,0.477203
loc2,congruent,Ll,['k'],False,0.348525
loc2,incongruent,Lk,['k'],True,0.561750
glob2,congruent,Kk,['k'],True,1.031715
glob2,incongruent,Kl,['k'],True,0.644520
glob2,congruent,Ll,['l'],True,0.522650
glob2,congruent,Ll,['l'],True,0.467412
glob2,congruent,Ll,['l'],True,0.444731
glob2,incongruent,Lk,['l'],True,0.323364
glob2,congruent,Ll,['l'],True,0.452906
glob2,congruent,Kk,['k'],True,0.552948
glob2,incongruent,Lk,['l'],True,0.485299
glob2,incongruent,Kl,['k'],True,0.800982
glob2,incongruent,Lk,['l'],True,0.453446
glob2,congruent,Kk,['k'],True,0.415188
glob2,congruent,Ll,['l'],True,0.389238
glob2,incongruent,Kl,['k'],True,0.481717
glob2,incongruent,Lk,['l'],True,0.386130
glob2,congruent,Ll,['l'],True,0.511508
glob2,incongruent,Lk,['l'],True,0.371751
glob2,incongruent,Lk,['l'],True,0.372574
glob2,incongruent,Kl,['l'],False,0.470085
glob2,incongruent,Lk,['l'],True,0.520896
glob2,incongruent,Lk,['l'],True,0.457834
glob2,incongruent,Kl,['k'],True,0.519382
glob2,congruent,Ll,['l'],True,0.682452
glob2,congruent,Kk,['k'],True,0.385593
glob2,incongruent,Kl,['k'],True,0.531329
Done at 246.582348
