Block, Condition, Item, Key, Accuracy, RT
glob1,congruent,Kk,['k'],True,0.538523
glob1,congruent,Kk,['k'],True,0.349205
glob1,congruent,Kk,['k'],True,0.349715
glob1,incongruent,Kl,['k'],True,0.426514
glob1,congruent,Ll,['l'],True,0.511572
glob1,incongruent,Lk,['l'],True,0.549018
glob1,incongruent,Lk,['l'],True,0.479182
glob1,incongruent,Lk,['l'],True,0.533452
glob1,incongruent,Kl,['k'],True,0.494086
glob1,congruent,Kk,['k'],True,0.447312
glob1,incongruent,Kl,['k'],True,0.390434
glob1,incongruent,Lk,['l'],True,0.467722
glob1,incongruent,Lk,['l'],True,0.427545
glob1,congruent,Ll,['l'],True,0.388045
glob1,incongruent,Lk,['l'],True,0.532800
glob1,congruent,Kk,['k'],True,0.496180
glob1,congruent,Kk,['k'],True,0.355644
glob1,incongruent,Kl,['k'],True,0.593475
glob1,congruent,Kk,['k'],True,0.381821
glob1,congruent,Ll,['l'],True,0.500071
glob1,incongruent,Kl,['k'],True,0.616703
glob1,congruent,Ll,['l'],True,0.726910
glob1,incongruent,Lk,['l'],True,0.545956
glob1,congruent,Ll,['l'],True,0.335877
glob1,congruent,Ll,['l'],True,0.548108
loc1,incongruent,Lk,['k'],True,0.485977
loc1,congruent,Kk,['k'],True,0.487585
loc1,congruent,Ll,['l'],True,0.497029
loc1,incongruent,Kl,['l'],True,0.619729
loc1,incongruent,Kl,['l'],True,0.521502
loc1,incongruent,Lk,['k'],True,0.491415
loc1,incongruent,Lk,['k'],True,0.381294
loc1,incongruent,Kl,['l'],True,0.472246
loc1,incongruent,Kl,['l'],True,0.344887
loc1,congruent,Kk,['l'],False,0.457125
loc1,congruent,Kk,['k'],True,0.500043
loc1,incongruent,Kl,['l'],True,0.510830
loc1,congruent,Ll,['l'],True,0.470011
loc1,congruent,Ll,['l'],True,0.559833
loc1,congruent,Kk,['k'],True,0.533935
loc1,incongruent,Lk,['k'],True,0.466604
loc1,congruent,Ll,['l'],True,0.623674
loc1,incongruent,Kl,['l'],True,0.627762
loc1,congruent,Kk,['k'],True,0.523721
loc1,congruent,Kk,['k'],True,0.504678
loc1,congruent,Ll,['l'],True,0.499487
loc1,congruent,Ll,['l'],True,0.426247
loc1,congruent,Kk,['k'],True,0.537678
loc1,congruent,Ll,['l'],True,0.508597
loc1,incongruent,Kl,['k'],False,0.353842
loc2,incongruent,Kl,['l'],True,0.506121
loc2,incongruent,Kl,['l'],True,0.404201
loc2,incongruent,Lk,['k'],True,0.397676
loc2,incongruent,Kl,['l'],True,0.391953
loc2,incongruent,Lk,['k'],True,0.487869
loc2,incongruent,Lk,['k'],True,0.368911
loc2,congruent,Ll,['l'],True,0.465846
loc2,incongruent,Lk,['k'],True,0.379709
loc2,congruent,Ll,['l'],True,0.651705
loc2,congruent,Ll,['l'],True,0.484274
loc2,incongruent,Kl,['l'],True,0.575167
loc2,congruent,Ll,['l'],True,0.507108
loc2,congruent,Kk,['k'],True,0.557431
loc2,congruent,Kk,['k'],True,0.406860
loc2,incongruent,Lk,['k'],True,0.472885
loc2,incongruent,Lk,['k'],True,0.367266
loc2,incongruent,Kl,['l'],True,0.540748
loc2,incongruent,Kl,['l'],True,0.532903
loc2,congruent,Kk,['k'],True,0.519007
loc2,congruent,Kk,['k'],True,0.384093
loc2,congruent,Kk,['k'],True,0.468562
loc2,incongruent,Lk,['k'],True,0.643892
loc2,congruent,Kk,['k'],True,0.504761
loc2,incongruent,Kl,['l'],True,0.617921
loc2,incongruent,Lk,['k'],True,0.445663
glob2,congruent,Ll,['l'],True,0.434810
glob2,congruent,Kk,['k'],True,0.387959
glob2,congruent,Kk,['k'],True,0.340064
glob2,incongruent,Kl,['k'],True,0.349480
glob2,congruent,Kk,['k'],True,0.314776
glob2,congruent,Kk,['k'],True,0.367366
glob2,congruent,Ll,['l'],True,0.464154
glob2,incongruent,Kl,['k'],True,0.399958
glob2,incongruent,Lk,['l'],True,0.510749
glob2,congruent,Ll,['l'],True,0.412961
glob2,congruent,Ll,['l'],True,0.367785
glob2,incongruent,Lk,['l'],True,0.479400
glob2,congruent,Ll,['l'],True,0.431264
glob2,incongruent,Kl,['k'],True,0.437523
glob2,incongruent,Lk,['l'],True,0.480045
glob2,incongruent,Kl,['k'],True,0.374979
glob2,congruent,Ll,['l'],True,0.668501
glob2,congruent,Kk,['k'],True,0.518475
glob2,incongruent,Kl,['k'],True,0.424008
glob2,incongruent,Kl,['k'],True,0.372362
glob2,congruent,Kk,['k'],True,0.407869
glob2,congruent,Kk,['k'],True,0.416032
glob2,congruent,Ll,['l'],True,0.472309
glob2,congruent,Ll,['l'],True,0.590609
glob2,incongruent,Lk,['l'],True,0.434463
Done at 235.820638
