Block, Condition, Item, Key, Accuracy, RT
glob1,incongruent,Lk,['k'],False,0.447559
glob1,congruent,Kk,['k'],True,0.594891
glob1,congruent,Kk,['k'],True,0.445129
glob1,congruent,Ll,['l'],True,0.540656
glob1,congruent,Kk,['k'],True,0.432625
glob1,incongruent,Kl,['k'],True,0.436357
glob1,congruent,Kk,['k'],True,0.371892
glob1,congruent,Kk,['k'],True,0.443270
glob1,congruent,Kk,['k'],True,0.383296
glob1,incongruent,Lk,['k'],False,0.339711
glob1,congruent,Kk,['k'],True,0.537633
glob1,congruent,Ll,['l'],True,0.320340
glob1,incongruent,Kl,['k'],True,0.587733
glob1,incongruent,Kl,['k'],True,0.864452
glob1,congruent,Ll,['l'],True,0.458572
glob1,congruent,Kk,['k'],True,0.449917
glob1,incongruent,Lk,['l'],True,0.411358
glob1,congruent,Kk,['k'],True,0.502193
glob1,congruent,Kk,['k'],True,0.541929
glob1,incongruent,Lk,['l'],True,0.487939
glob1,incongruent,Kl,['k'],True,0.469692
glob1,congruent,Ll,['l'],True,0.477682
glob1,incongruent,Kl,['k'],True,0.519938
glob1,congruent,Ll,['l'],True,0.361412
glob1,incongruent,Lk,['l'],True,0.409510
loc1,congruent,Ll,['l'],True,0.513826
loc1,incongruent,Kl,['l'],True,0.557196
loc1,congruent,Kk,['k'],True,0.507155
loc1,incongruent,Lk,['k'],True,0.404488
loc1,congruent,Kk,['k'],True,0.471397
loc1,congruent,Ll,['k'],False,0.301888
loc1,congruent,Ll,['l'],True,0.547714
loc1,congruent,Ll,['l'],True,0.292371
loc1,congruent,Ll,['l'],True,0.400182
loc1,congruent,Ll,['l'],True,0.341052
loc1,incongruent,Kl,['l'],True,0.579284
loc1,incongruent,Lk,['k'],True,0.527635
loc1,incongruent,Kl,['l'],True,0.608201
loc1,congruent,Ll,['l'],True,0.459548
loc1,congruent,Kk,['k'],True,0.474873
loc1,incongruent,Lk,['k'],True,0.582264
loc1,congruent,Ll,['l'],True,0.519364
loc1,congruent,Ll,['l'],True,0.591437
loc1,incongruent,Kl,['k'],False,0.361274
loc1,incongruent,Lk,['k'],True,0.639923
loc1,congruent,Ll,['l'],True,0.442053
loc1,incongruent,Kl,['l'],True,0.688531
loc1,congruent,Kk,['k'],True,0.521452
loc1,incongruent,Lk,['k'],True,1.262064
loc1,incongruent,Kl,['l'],True,0.551050
loc2,incongruent,Lk,['k'],True,1.077025
loc2,congruent,Ll,['l'],True,0.531572
loc2,incongruent,Kl,['l'],True,0.830078
loc2,incongruent,Lk,['k'],True,0.688529
loc2,congruent,Ll,['l'],True,0.522550
loc2,congruent,Kk,['k'],True,0.541689
loc2,incongruent,Lk,['k'],True,0.401148
loc2,congruent,Ll,['l'],True,0.514368
loc2,incongruent,Kl,['l'],True,0.517626
loc2,congruent,Ll,['l'],True,0.372572
loc2,congruent,Kk,['k'],True,0.531028
loc2,congruent,Kk,['k'],True,0.485573
loc2,incongruent,Kl,['k'],False,0.402338
loc2,congruent,Kk,['k'],True,0.596083
loc2,congruent,Kk,['k'],True,0.569464
loc2,congruent,Ll,['l'],True,0.400692
loc2,congruent,Ll,['l'],True,0.415629
loc2,incongruent,Lk,['k'],True,0.607921
loc2,incongruent,Kl,['l'],True,0.516416
loc2,congruent,Ll,['l'],True,0.562982
loc2,congruent,Kk,['k'],True,0.646405
loc2,incongruent,Kl,['k'],False,0.408587
loc2,congruent,Kk,['l'],False,0.591033
loc2,incongruent,Lk,['k'],True,0.819889
loc2,incongruent,Kl,['l'],True,0.679658
glob2,incongruent,Kl,['k'],True,0.578811
glob2,incongruent,Lk,['l'],True,0.360481
glob2,congruent,Kk,['k'],True,0.487237
glob2,incongruent,Kl,['k'],True,0.418492
glob2,incongruent,Lk,['l'],True,0.386985
glob2,incongruent,Lk,['l'],True,0.490982
glob2,incongruent,Kl,['k'],True,0.334480
glob2,congruent,Kk,['k'],True,0.450817
glob2,congruent,Kk,['k'],True,0.498889
glob2,congruent,Kk,['k'],True,0.475465
glob2,incongruent,Lk,['l'],True,0.474072
glob2,incongruent,Kl,['l'],False,0.306125
glob2,incongruent,Lk,['l'],True,0.400081
glob2,incongruent,Kl,['k'],True,1.302312
glob2,congruent,Kk,['k'],True,0.495165
glob2,incongruent,Lk,['l'],True,0.513724
glob2,congruent,Ll,['l'],True,0.535054
glob2,congruent,Kk,['l'],False,0.417208
glob2,incongruent,Lk,['l'],True,0.984400
glob2,congruent,Kk,['k'],True,0.661085
glob2,congruent,Kk,['k'],True,0.412046
glob2,congruent,Ll,['l'],True,0.432880
glob2,congruent,Ll,['l'],True,0.489879
glob2,incongruent,Lk,['l'],True,0.458667
glob2,congruent,Kk,['k'],True,0.371989
Done at 245.649953
