Block, Condition, Item, Key, Accuracy, RT
loc1,incongruent,Lk,['k'],True,0.882919
loc1,incongruent,Kl,['l'],True,0.490461
loc1,incongruent,Lk,['k'],True,0.590225
loc1,congruent,Ll,['l'],True,0.409749
loc1,incongruent,Kl,['l'],True,0.588541
loc1,incongruent,Lk,['k'],True,0.849010
loc1,incongruent,Kl,None,False,nan
loc1,incongruent,Kl,['l'],True,0.642998
loc1,incongruent,Lk,['k'],True,0.553424
loc1,incongruent,Kl,['l'],True,0.786289
loc1,incongruent,Lk,['k'],True,0.850629
loc1,incongruent,Lk,['k'],True,0.760450
loc1,incongruent,Lk,['l'],False,0.403076
loc1,congruent,Ll,['l'],True,0.695955
loc1,incongruent,Lk,['k'],True,0.557554
loc1,incongruent,Kl,['l'],True,0.727861
loc1,incongruent,Lk,['k'],True,0.493286
loc1,incongruent,Lk,['k'],True,0.598419
loc1,incongruent,Lk,['k'],True,0.445286
loc1,incongruent,Lk,['k'],True,0.477136
loc1,incongruent,Lk,['k'],True,0.534827
loc1,incongruent,Lk,['k'],True,0.433965
loc1,congruent,Ll,['l'],True,0.551763
loc1,incongruent,Kl,['l'],True,0.512069
loc1,congruent,Kk,['k'],True,0.555660
glob1,congruent,Ll,['l'],True,0.831816
glob1,incongruent,Lk,['l'],True,0.497142
glob1,incongruent,Kl,['k'],True,0.521638
glob1,incongruent,Lk,['l'],True,0.627335
glob1,incongruent,Lk,['l'],True,0.735660
glob1,congruent,Ll,['l'],True,0.377470
glob1,congruent,Kk,['k'],True,0.513734
glob1,congruent,Kk,['k'],True,0.468946
glob1,incongruent,Lk,['l'],True,0.427077
glob1,congruent,Kk,['k'],True,0.512516
glob1,incongruent,Lk,['l'],True,0.343860
glob1,incongruent,Kl,['k'],True,0.372709
glob1,congruent,Kk,['k'],True,0.453899
glob1,congruent,Kk,['k'],True,0.558214
glob1,congruent,Ll,['l'],True,0.377903
glob1,congruent,Kk,['k'],True,0.600415
glob1,congruent,Ll,['l'],True,0.323936
glob1,congruent,Ll,['l'],True,0.516297
glob1,incongruent,Kl,['k'],True,0.383421
glob1,congruent,Ll,['l'],True,0.775003
glob1,congruent,Ll,['l'],True,0.551911
glob1,incongruent,Lk,['l'],True,0.526462
glob1,congruent,Ll,['l'],True,0.556610
glob1,congruent,Ll,['l'],True,0.450604
glob1,congruent,Kk,['k'],True,0.649191
glob2,congruent,Ll,['l'],True,0.736233
glob2,incongruent,Kl,['k'],True,0.443226
glob2,congruent,Ll,['l'],True,0.337315
glob2,incongruent,Kl,['k'],True,0.596065
glob2,congruent,Kk,['k'],True,0.539922
glob2,congruent,Ll,['l'],True,0.397676
glob2,incongruent,Lk,['l'],True,0.650669
glob2,incongruent,Kl,['k'],True,0.448610
glob2,congruent,Ll,['l'],True,0.407045
glob2,incongruent,Lk,['l'],True,0.465130
glob2,incongruent,Kl,['k'],True,0.462309
glob2,incongruent,Kl,['k'],True,0.923729
glob2,congruent,Kk,['k'],True,0.562669
glob2,congruent,Kk,['k'],True,0.459838
glob2,congruent,Ll,['l'],True,0.623541
glob2,incongruent,Kl,['k'],True,0.451139
glob2,congruent,Kk,['k'],True,0.509021
glob2,congruent,Kk,['k'],True,0.544206
glob2,congruent,Ll,['l'],True,0.639189
glob2,congruent,Ll,['k'],False,0.377971
glob2,congruent,Kk,['k'],True,0.482189
glob2,congruent,Ll,['l'],True,0.435489
glob2,congruent,Ll,['l'],True,0.666464
glob2,incongruent,Lk,['l'],True,0.516420
glob2,incongruent,Lk,['l'],True,0.336370
loc2,incongruent,Lk,['k'],True,0.711308
loc2,incongruent,Kl,['l'],True,0.653090
loc2,incongruent,Kl,['l'],True,0.651470
loc2,congruent,Kk,['l'],False,0.410468
loc2,congruent,Ll,['l'],True,0.441931
loc2,incongruent,Kl,['l'],True,0.640371
loc2,congruent,Ll,['l'],True,0.476074
loc2,congruent,Kk,['k'],True,0.496451
loc2,incongruent,Lk,['k'],True,0.667827
loc2,incongruent,Kl,['l'],True,0.484279
loc2,incongruent,Lk,['k'],True,0.894960
loc2,congruent,Kk,['k'],True,0.514426
loc2,incongruent,Lk,['k'],True,0.455477
loc2,incongruent,Kl,['l'],True,0.653094
loc2,congruent,Kk,['k'],True,0.485106
loc2,congruent,Ll,['l'],True,0.781802
loc2,incongruent,Kl,['l'],True,0.425931
loc2,congruent,Kk,['k'],True,0.474592
loc2,incongruent,Kl,['l'],True,0.519595
loc2,congruent,Kk,['k'],True,0.619061
loc2,congruent,Ll,['l'],True,0.518480
loc2,congruent,Ll,['l'],True,0.373154
loc2,congruent,Kk,['k'],True,0.519748
loc2,incongruent,Kl,['l'],True,0.793198
loc2,congruent,Ll,['l'],True,0.473026
Done at 259.551687
