Block, Condition, Item, Key, Accuracy, RT
loc1,incongruent,Kl,['l'],True,0.775889
loc1,congruent,Kk,['k'],True,0.590954
loc1,congruent,Ll,['l'],True,0.649040
loc1,incongruent,Lk,['l'],False,0.524172
loc1,incongruent,Lk,['k'],True,0.639057
loc1,incongruent,Kl,['l'],True,0.478912
loc1,congruent,Ll,['l'],True,0.567012
loc1,incongruent,Kl,['l'],True,0.519333
loc1,incongruent,Kl,['l'],True,0.537754
loc1,congruent,Kk,['k'],True,0.651491
loc1,congruent,Kk,['k'],True,0.572278
loc1,congruent,Ll,['l'],True,0.505772
loc1,congruent,Kk,['k'],True,0.687821
loc1,incongruent,Kl,['l'],True,0.597719
loc1,congruent,Ll,['l'],True,0.534744
loc1,incongruent,Lk,['k'],True,0.572312
loc1,congruent,Kk,['k'],True,0.664137
loc1,congruent,Kk,['k'],True,0.481453
loc1,incongruent,Lk,['l'],False,0.465882
loc1,congruent,Ll,['k'],False,0.507373
loc1,incongruent,Lk,['k'],True,1.255680
loc1,congruent,Ll,['l'],True,0.609829
loc1,incongruent,Lk,['k'],True,0.665017
loc1,congruent,Ll,['l'],True,0.592219
loc1,congruent,Ll,['l'],True,0.562996
glob1,congruent,Ll,['l'],True,0.467148
glob1,congruent,Kk,['k'],True,0.537841
glob1,incongruent,Lk,['l'],True,0.417502
glob1,congruent,Ll,['l'],True,0.515661
glob1,congruent,Kk,['k'],True,0.552659
glob1,incongruent,Kl,['k'],True,0.586971
glob1,incongruent,Lk,['l'],True,0.507066
glob1,congruent,Kk,['k'],True,0.561896
glob1,congruent,Ll,['l'],True,0.438072
glob1,incongruent,Lk,['l'],True,0.490663
glob1,congruent,Ll,['l'],True,0.554341
glob1,incongruent,Lk,['k'],False,0.610718
glob1,incongruent,Kl,['l'],False,0.454598
glob1,incongruent,Kl,['k'],True,0.645762
glob1,congruent,Kk,['k'],True,0.425030
glob1,congruent,Ll,['l'],True,0.489768
glob1,incongruent,Lk,['l'],True,0.473021
glob1,congruent,Ll,['l'],True,0.628605
glob1,congruent,Kk,['k'],True,0.605780
glob1,incongruent,Kl,['k'],True,0.715399
glob1,congruent,Ll,['l'],True,0.455739
glob1,congruent,Kk,['k'],True,0.635069
glob1,incongruent,Kl,['k'],True,0.759714
glob1,congruent,Kk,['k'],True,0.438262
glob1,congruent,Ll,['l'],True,0.423389
glob2,incongruent,Kl,['k'],True,0.774719
glob2,incongruent,Lk,['l'],True,0.543248
glob2,incongruent,Kl,['k'],True,0.647828
glob2,incongruent,Lk,['l'],True,0.407217
glob2,congruent,Kk,['k'],True,0.584594
glob2,congruent,Kk,['k'],True,0.491247
glob2,congruent,Kk,['k'],True,0.489599
glob2,incongruent,Lk,['l'],True,0.483343
glob2,congruent,Ll,['l'],True,0.491078
glob2,incongruent,Lk,['l'],True,0.707240
glob2,incongruent,Lk,['l'],True,0.804202
glob2,incongruent,Lk,['l'],True,0.395094
glob2,congruent,Kk,['k'],True,0.471014
glob2,congruent,Ll,['l'],True,0.515932
glob2,congruent,Kk,['k'],True,0.642322
glob2,congruent,Kk,['k'],True,0.480253
glob2,incongruent,Kl,['k'],True,0.456974
glob2,congruent,Ll,['l'],True,0.766481
glob2,congruent,Ll,['l'],True,0.421644
glob2,congruent,Ll,['l'],True,0.651962
glob2,congruent,Ll,['l'],True,0.814705
glob2,incongruent,Lk,['k'],False,0.557452
glob2,congruent,Ll,['l'],True,0.815558
glob2,congruent,Kk,['k'],True,0.924959
glob2,incongruent,Lk,['l'],True,0.546512
loc2,congruent,Kk,['k'],True,0.748025
loc2,incongruent,Lk,['k'],True,0.759037
loc2,incongruent,Kl,['l'],True,0.515867
loc2,incongruent,Lk,['k'],True,0.508358
loc2,congruent,Kk,['l'],False,0.567870
loc2,congruent,Kk,['k'],True,0.635405
loc2,congruent,Ll,['l'],True,0.510698
loc2,incongruent,Kl,['l'],True,0.638577
loc2,incongruent,Kl,['l'],True,0.587271
loc2,incongruent,Kl,['l'],True,0.540745
loc2,congruent,Ll,['l'],True,0.704743
loc2,incongruent,Lk,['k'],True,0.652240
loc2,incongruent,Kl,['l'],True,0.669877
loc2,incongruent,Kl,['l'],True,0.610554
loc2,incongruent,Lk,['k'],True,0.605390
loc2,congruent,Kk,['k'],True,0.746018
loc2,incongruent,Lk,['k'],True,0.655226
loc2,incongruent,Kl,['l'],True,0.564692
loc2,incongruent,Lk,['k'],True,0.621107
loc2,incongruent,Kl,['l'],True,0.757014
loc2,congruent,Ll,['l'],True,0.525577
loc2,incongruent,Lk,['k'],True,0.580683
loc2,incongruent,Kl,['l'],True,0.713169
loc2,incongruent,Lk,['k'],True,0.854640
loc2,incongruent,Kl,['l'],True,0.699964
Done at 253.957794
