Block, Condition, Item, Key, Accuracy, RT
loc1,incongruent,Kl,['l'],True,0.562865
loc1,congruent,Kk,['l'],False,0.351386
loc1,congruent,Kk,['k'],True,0.478200
loc1,congruent,Kk,['k'],True,0.368021
loc1,congruent,Ll,['l'],True,0.599014
loc1,incongruent,Lk,['k'],True,0.558381
loc1,incongruent,Lk,['k'],True,0.554324
loc1,congruent,Kk,['k'],True,0.474784
loc1,incongruent,Kl,['k'],False,0.404462
loc1,congruent,Kk,['k'],True,0.800816
loc1,congruent,Kk,['k'],True,0.519486
loc1,congruent,Kk,['k'],True,0.439119
loc1,incongruent,Lk,['k'],True,0.607779
loc1,incongruent,Kl,['l'],True,0.623030
loc1,congruent,Ll,['l'],True,0.448911
loc1,congruent,Kk,['k'],True,0.718292
loc1,incongruent,Kl,['l'],True,0.647908
loc1,congruent,Kk,['k'],True,0.664791
loc1,congruent,Ll,['l'],True,0.559474
loc1,incongruent,Kl,['k'],False,0.553785
loc1,congruent,Kk,None,False,nan
loc1,congruent,Ll,['l'],True,0.710263
loc1,incongruent,Kl,['l'],True,0.947784
loc1,incongruent,Lk,['k'],True,0.756249
loc1,congruent,Ll,['l'],True,0.487013
glob1,congruent,Kk,['k'],True,1.168007
glob1,congruent,Ll,['l'],True,0.531910
glob1,congruent,Kk,['k'],True,0.607574
glob1,congruent,Ll,['l'],True,0.456552
glob1,congruent,Kk,['k'],True,0.564748
glob1,congruent,Kk,['k'],True,0.448519
glob1,congruent,Ll,['l'],True,0.489744
glob1,incongruent,Kl,['k'],True,0.401766
glob1,congruent,Ll,['l'],True,0.497439
glob1,congruent,Ll,['l'],True,0.497894
glob1,incongruent,Lk,['l'],True,0.350982
glob1,congruent,Kk,['k'],True,0.565420
glob1,incongruent,Kl,['l'],False,0.317029
glob1,incongruent,Kl,['k'],True,1.026594
glob1,congruent,Ll,['l'],True,0.474244
glob1,congruent,Ll,['l'],True,0.544120
glob1,congruent,Ll,['l'],True,0.504266
glob1,incongruent,Lk,['l'],True,0.349541
glob1,congruent,Kk,['k'],True,0.448579
glob1,incongruent,Lk,['l'],True,0.626013
glob1,incongruent,Lk,['l'],True,0.460000
glob1,congruent,Kk,['k'],True,0.387928
glob1,incongruent,Lk,['l'],True,0.459244
glob1,incongruent,Kl,['k'],True,0.351737
glob1,congruent,Kk,['k'],True,0.415508
glob2,incongruent,Lk,['l'],True,0.496643
glob2,incongruent,Lk,['l'],True,0.384055
glob2,incongruent,Lk,['l'],True,0.487269
glob2,incongruent,Kl,['k'],True,0.433397
glob2,incongruent,Kl,['k'],True,0.544185
glob2,congruent,Kk,['k'],True,0.661952
glob2,congruent,Kk,['k'],True,0.474984
glob2,incongruent,Lk,['l'],True,0.468837
glob2,congruent,Ll,['l'],True,0.399760
glob2,congruent,Kk,['k'],True,0.402417
glob2,congruent,Kk,['k'],True,0.470878
glob2,congruent,Ll,['k'],False,0.352888
glob2,incongruent,Lk,['l'],True,0.963883
glob2,incongruent,Kl,['k'],True,0.626629
glob2,incongruent,Kl,['k'],True,0.495923
glob2,congruent,Ll,['k'],False,0.375000
glob2,incongruent,Kl,['k'],True,0.541806
glob2,incongruent,Kl,['k'],True,0.489069
glob2,incongruent,Lk,['l'],True,0.605832
glob2,congruent,Ll,['l'],True,0.493029
glob2,congruent,Kk,['k'],True,0.505898
glob2,congruent,Ll,['l'],True,0.526178
glob2,incongruent,Kl,['k'],True,0.335291
glob2,incongruent,Lk,['l'],True,0.377926
glob2,congruent,Ll,['l'],True,0.651008
loc2,congruent,Kk,None,False,nan
loc2,incongruent,Lk,['k'],True,0.748318
loc2,congruent,Kk,['k'],True,0.483529
loc2,incongruent,Kl,['l'],True,0.613698
loc2,incongruent,Kl,['l'],True,0.415692
loc2,incongruent,Kl,['l'],True,0.415738
loc2,congruent,Kk,['k'],True,0.633343
loc2,congruent,Ll,['l'],True,0.487384
loc2,congruent,Ll,['l'],True,0.493695
loc2,congruent,Kk,['k'],True,0.458543
loc2,incongruent,Kl,['l'],True,0.589778
loc2,congruent,Kk,['k'],True,0.438596
loc2,incongruent,Lk,['k'],True,0.679010
loc2,incongruent,Kl,['l'],True,0.607675
loc2,congruent,Kk,['k'],True,0.425272
loc2,congruent,Kk,['k'],True,0.537671
loc2,congruent,Kk,['k'],True,0.493010
loc2,congruent,Ll,['l'],True,0.543147
loc2,incongruent,Lk,['k'],True,0.587915
loc2,congruent,Kk,['k'],True,0.445132
loc2,incongruent,Kl,['l'],True,0.550397
loc2,incongruent,Lk,['k'],True,0.412987
loc2,incongruent,Kl,['l'],True,0.637379
loc2,incongruent,Lk,['k'],True,0.356160
loc2,incongruent,Kl,['l'],True,0.590196
Done at 274.295257
